Startup Name,Industry,Pitchers City,Pitchers State,Original Ask Amount,Original Offered Equity,Total Deal Amount,Total Deal Equity,Number of Sharks in Deal,Namita Investment Amount,Aman Investment Amount,Anupam Investment Amount,Vineeta Investment Amount,Peyush Investment Amount,Ritesh Investment Amount,Amit Investment Amount,Guest Investment Amount
TripoleGear,Fitness/Sports/Outdoors,Delhi,Delhi,100,1,75,1.15,1,0,0,0,0,0,75,0,0
Neosapien,Technology/Software,"Gwalior,Indore",Madhya Pradesh,80,2.5,80,4,1,80,0,0,0,0,0,0,0
MissCheesecake,Food and Beverage,Jodhpur,Rajasthan,30,5,0,0,0,0,0,0,0,0,0,0,0
SpeedKitchen,Food and Beverage,Delhi,Delhi,200,3,200,6,3,0,0,0,0,0,66.66,0,133.33
MudgarClub,Fitness/Sports/Outdoors,Unknown,Haryana,50,10,50,12.5,1,0,0,0,0,0,50,0,0
ImagiMake,Children/Education,Mumbai,Maharashtra,150,0.5,0,0,0,0,0,0,0,0,0,0,0
BeastLife,Medical/Health,"Kanpur,Lucknow",Uttar Pradesh,100,1,0,0,0,0,0,0,0,0,0,0,0
GoDevil,Beauty/Fashion,Gurugram,Haryana,80,2,0,0,0,0,0,0,0,0,0,0,0
Havintha,Beauty/Fashion,Indore,Madhya Pradesh,50,2,0,0,0,0,0,0,0,0,0,0,0
NurturingGreen,Lifestyle/Home,Lucknow,Uttar Pradesh,100,1,50,1.25,1,0,0,0,50,0,0,0,0
kyari,Lifestyle/Home,Indore,Madhya Pradesh,80,0.8,0,0,0,0,0,0,0,0,0,0,0
ProjectClay,Children/Education,Goa,Goa,15,10,15,10,1,15,0,0,0,0,0,0,0
DeniBikes,Vehicles/Electrical Vehicles,Pune,Maharashtra,30,10,0,0,0,0,0,0,0,0,0,0,0
PrettyLittleShop,Lifestyle/Home,Mumbai,Maharashtra,30,10,0,0,0,0,0,0,0,0,0,0,0
Aquapeya,Lifestyle/Home,Sangli,Maharashtra,70,2,70,3,2,35,0,0,0,0,35,0,0
Jarsh,Manufacturing,Hyderabad,Telangana,50,1,50,1.5,1,0,50,0,0,0,0,0,0
DACBY,Beauty/Fashion,Kanpur,Uttar Pradesh,75,2.2,0,0,0,0,0,0,0,0,0,0,0
Shyle,Beauty/Fashion,Jaipur,Rajasthan,70,1,70,1.5,2,35,0,0,0,0,35,0,0
SavaniHeritage,Business Services,Mumbai,Maharashtra,300,1,100,0.8,1,0,0,0,0,0,100,0,0
SNEAKINN,Beauty/Fashion,Gurugram,Haryana,90,3,90,6.5,1,0,0,90,0,0,0,0,0
fupro,Medical/Health,Chandigarh,"Punjab,Kerala",60,1,60,4,3,20,20,0,0,0,20,0,0
Kanvas,Beauty/Fashion,Mumbai,Maharashtra,60,6,0,0,0,0,0,0,0,0,0,0,0
ezo,Manufacturing,Akola,Maharashtra,50,0.33,0,0,0,0,0,0,0,0,0,0,0
Seven,Technology/Software,Mumbai,Maharashtra,75,1,75,1.5,3,0,0,0,25,25,0,0,25
TheFutureAnimations,Technology/Software,Delhi,Delhi,50,2.5,50,10,1,0,0,0,0,50,0,0,0
Aignosis,Technology/Software,Jaipur,Rajasthan,50,4,100,8,3,0,33.333,0,0,33.333,0,0,33.333
Rosha,Manufacturing,Delhi,Delhi,60,1,60,4,2,0,30,0,0,0,30,0,0
MakeMyPayment,Technology/Software,Ujjain,Madhya Pradesh,30,3,0,0,0,0,0,0,0,0,0,0,0
PatchUp,Medical/Health,Delhi,Delhi,50,1.75,50,2.27,1,0,0,50,0,0,0,0,0
tikitoro,Beauty/Fashion,Chennai,Tamil Nadu,25,0.5,25,1,1,25,0,0,0,0,0,0,0
Ashva,Medical/Health,Ghaziabad,Uttar Pradesh,50,1.25,50,4,1,0,0,0,50,0,0,0,0
AseemShakti,Beauty/Fashion,Mumbai,Maharashtra,50,2.5,50,10,1,0,0,50,0,0,0,0,0
RBDMachineTools,Agriculture,Jaipur,Rajasthan,100,1,50,1,2,25,0,0,0,0,25,0,0
MidasPaint,Green/CleanTech,Pune,Maharashtra,300,5,0,0,0,0,0,0,0,0,0,0,0
GoodlandPickleball,Fitness/Sports/Outdoors,Mumbai,Maharashtra,80,4,80,6,1,0,80,0,0,0,0,0,0
TheNaturikCo,Food and Beverage,Panchkula,Haryana,50,2,400,22.22,5,0,80,80,80,80,0,0,80
Metashot,Fitness/Sports/Outdoors,Bangalore,Karnataka,80,1.5,160,5,2,0,0,80,80,0,0,0,0
GabruDiChaap,Food and Beverage,Hyderabad,Telangana,70,1,140,6,3,0,0,46.666,46.666,46.666,0,0,0
YaanMan,Beauty/Fashion,Ahmedabad,Gujarat,50,6,100,20,2,0,50,50,0,0,0,0,0
SonicLamb,Lifestyle/Home,Mangalore,Karnataka,50,1,50,1,1,0,0,0,0,50,0,0,0
Woolah,Food and Beverage,Sivasagar,Assam,50,1.66,50,2.5,1,0,50,0,0,0,0,0,0
EM5,Beauty/Fashion,Indore,Madhya Pradesh,70,2,100,10,1,0,100,0,0,0,0,0,0
WomanLikeU,Beauty/Fashion,Bangalore,Karnataka,100,2,100,3,1,0,100,0,0,0,0,0,0
BookLeafPublishing,Others,"Delhi,Srinagar","Delhi,Jammu & Kashmir",90,5,0,0,0,0,0,0,0,0,0,0,0
Str8bat,Fitness/Sports/Outdoors,Bangalore,Karnataka,150,1,150,3.5,2,75,75,0,0,0,0,0,0
Ruby'sOrganics,Beauty/Fashion,Mumbai,Maharashtra,100,2.5,100,8,1,0,0,0,0,0,0,0,100
TheGoodDoll,Children/Education,Ooty,Tamil Nadu,50,5,0,0,0,0,0,0,0,0,0,0,0
Schickwheel,Manufacturing,Delhi,Delhi,70,1,0,0,0,0,0,0,0,0,0,0,0
